,ind,preds,results,time
0,36,[[ 3.6174e-10           1]],1,2.466075897216797
1,196,[[ 5.0214e-12           1]],1,0.2831442356109619
2,301,[[ 3.8643e-10           1]],1,0.2910923957824707
3,351,[[ 4.0892e-10           1]],1,0.283858060836792
4,401,[[ 6.1674e-12           1]],1,0.2694108486175537
5,451,[[  6.423e-10           1]],1,0.34210896492004395
6,501,[[ 4.6595e-10           1]],1,0.2682516574859619
7,601,[[  1.105e-09           1]],1,0.28936290740966797
8,751,[[ 2.8627e-10           1]],1,0.28740811347961426
9,801,[[ 8.5757e-10           1]],1,0.3420748710632324
10,851,[[  9.623e-09           1]],1,0.2624831199645996
11,1101,[[ 1.1622e-09           1]],1,0.2755768299102783
12,1201,[[  4.277e-09           1]],1,0.3502616882324219
13,1301,[[ 4.9009e-09           1]],1,0.267855167388916
14,1451,[[ 2.1732e-10           1]],1,0.3113422393798828
15,1551,[[ 1.6582e-09           1]],1,0.27274441719055176
16,1701,[[ 4.1667e-10           1]],1,0.2648296356201172
17,1754,[[ 1.6155e-09           1]],1,0.2689647674560547
18,1901,[[ 4.8528e-07           1]],1,0.277346134185791
19,2017,[[ 6.0942e-09           1]],1,0.27402830123901367
20,2101,[[   0.057305     0.94269]],1,0.3028101921081543
21,2251,[[   0.032552     0.96745]],1,0.3086366653442383
22,2351,[[ 0.00011118     0.99989]],1,0.31751537322998047
23,2451,[[ 0.00013337     0.99987]],1,0.32314324378967285
24,2601,[[  0.0018378     0.99816]],1,0.3271172046661377
25,2651,[[ 7.7971e-05     0.99992]],1,0.30092859268188477
26,2751,[[ 5.1821e-08           1]],1,0.31480884552001953
27,2850,[[ 8.0858e-08           1]],1,0.28691911697387695
28,2907,[[ 3.1858e-08           1]],1,0.2852823734283447
29,3051,[[ 1.1629e-09           1]],1,0.26996421813964844
30,3150,[[ 1.9923e-11           1]],1,0.2747654914855957
31,3225,[[ 8.0754e-09           1]],1,0.27535438537597656
32,3350,[[ 1.3707e-08           1]],1,0.3213529586791992
33,3474,[[  4.905e-08           1]],1,0.26152777671813965
34,3651,[[ 2.2814e-06           1]],1,0.2652699947357178
35,3750,[[ 8.5863e-07           1]],1,0.2918832302093506
36,3801,[[ 1.7639e-07           1]],1,0.2993295192718506
37,3856,[[ 6.7129e-06     0.99999]],1,0.27576208114624023
38,3950,[[ 1.6279e-08           1]],1,0.30091309547424316
39,4001,[[ 5.6088e-09           1]],1,0.2696206569671631
40,4125,[[ 1.5132e-10           1]],1,0.26295971870422363
41,4184,[[ 4.6413e-11           1]],1,0.34470534324645996
42,4349,[[   0.015402      0.9846]],1,0.2856876850128174
43,4404,[[  0.0035767     0.99642]],1,0.2968168258666992
44,4474,[[   0.072044     0.92796]],1,0.25785183906555176
45,4551,[[   0.016325     0.98367]],1,0.2847576141357422
46,4751,[[  0.0043574     0.99564]],1,0.2793846130371094
47,4855,[[  0.0059866     0.99401]],1,0.27610087394714355
48,4905,[[   0.010487     0.98951]],1,0.27314114570617676
49,4955,[[  0.0013235     0.99868]],1,0.3155643939971924
50,5024,[[   0.042528     0.95747]],1,0.2504265308380127
51,5211,[[  7.154e-07           1]],1,0.2782614231109619
52,5289,[[ 1.1935e-07           1]],1,0.2573699951171875
53,5473,[[ 1.5766e-05     0.99998]],1,0.26175951957702637
54,5548,[[  9.673e-06     0.99999]],1,0.33765506744384766
55,5653,[[ 5.7867e-06     0.99999]],1,0.25670599937438965
56,5703,[[  3.615e-06           1]],1,0.2865424156188965
57,5773,[[ 7.3827e-05     0.99993]],1,0.2530958652496338
58,5904,[[          1  2.6484e-07]],0,0.31331944465637207
59,6003,[[    0.98694    0.013061]],0,0.2637925148010254
60,6099,[[    0.93948     0.06052]],0,0.28100085258483887
61,6198,[[ 0.00023149     0.99977]],1,0.2771320343017578
62,6301,[[  0.0015758     0.99842]],1,0.2726318836212158
63,6398,[[  0.0063061     0.99369]],1,0.29364728927612305
64,6451,[[    0.38935     0.61065]],1,0.3075251579284668
65,6549,[[  0.0077028      0.9923]],1,0.29665470123291016
66,6751,[[    0.99983  0.00016898]],0,0.3118312358856201
67,6853,[[    0.79561     0.20439]],0,0.30281972885131836
68,7053,[[          1  1.8781e-06]],0,0.31762218475341797
69,7103,[[   0.037559     0.96244]],1,0.2911946773529053
70,7251,[[          1  3.9378e-06]],0,0.2901890277862549
71,7403,[[    0.72089     0.27911]],0,0.3171274662017822
72,7501,[[     0.9383    0.061699]],0,0.28136634826660156
73,7648,[[    0.87989     0.12011]],0,0.2697606086730957
74,7753,[[    0.99986  0.00013801]],0,0.2634265422821045
75,7903,[[ 0.00032927     0.99967]],1,0.28214025497436523
76,8009,[[ 0.00042584     0.99957]],1,0.26830244064331055
77,8151,[[ 0.00075105     0.99925]],1,0.3096950054168701
78,8251,[[  0.0034912     0.99651]],1,0.2704756259918213
79,8320,[[ 0.00016712     0.99983]],1,0.25173163414001465
80,8446,[[ 2.5338e-05     0.99997]],1,0.2759692668914795
81,8546,[[ 0.00058343     0.99942]],1,0.2817707061767578
82,8603,[[   0.020425     0.97957]],1,0.2720909118652344
83,8701,[[ 0.00029752      0.9997]],1,0.2832329273223877
84,8801,[[    0.12211     0.87789]],1,0.255157470703125
85,8870,[[ 4.8631e-07           1]],1,0.24651074409484863
86,9101,[[ 8.6631e-06     0.99999]],1,0.2684974670410156
87,9270,[[ 0.00029594      0.9997]],1,0.25506162643432617
88,9401,[[     0.3753      0.6247]],1,0.2687044143676758
89,9551,[[   0.058967     0.94103]],1,0.2882850170135498
90,9645,[[    0.96569    0.034313]],0,0.28764986991882324
91,9751,[[     0.5903      0.4097]],0,0.29992055892944336
92,9870,[[    0.99963  0.00036699]],0,0.28879857063293457
93,9995,[[    0.99946  0.00054295]],0,0.26284003257751465
94,10145,[[    0.46892     0.53108]],1,0.25505781173706055
95,10220,[[          1  2.0086e-09]],0,0.24156427383422852
96,10270,[[          1  1.1324e-06]],0,0.23771095275878906
97,10395,[[          1  8.6758e-07]],0,0.26249003410339355
98,10519,[[  0.0022949     0.99771]],1,0.2588214874267578
