,0,1,2,3,4
0,51,1,1,0.7088810205459595,[1.0]
1,251,1,1,0.3216431736946106,[1.0]
2,451,1,1,0.27270418405532837,[1.0]
3,501,0,-1,-1.0,[]
4,701,0,-1,-1.0,[]
5,801,0,-1,-1.0,[]
6,851,0,-1,-1.0,[]
7,951,0,-1,-1.0,[]
8,1001,3,1,0.6445353031158447,"[1.0, 1.0, 1.0]"
9,1101,1,1,0.42989397048950195,[1.0]
10,1180,1,1,0.4032058119773865,[1.0]
11,1401,1,1,0.28815320134162903,[1.0]
12,1501,1,1,0.3934616148471832,[1.0]
13,1601,1,1,0.35135388374328613,[1.0]
14,1751,1,1,0.3035467863082886,[1.0]
15,1801,1,1,0.30854812264442444,[1.0]
16,1851,1,1,0.5394410490989685,[1.0]
17,2001,1,1,0.32570818066596985,[1.0]
18,2051,1,1,0.2773851454257965,[1.0]
19,2201,1,1,0.30337241291999817,[1.0]
20,2251,1,1,0.27798929810523987,[1.0]
21,2301,1,1,0.2772867977619171,[1.0]
22,2401,1,1,0.5877017378807068,[1.0]
23,2551,1,1,0.5455871820449829,[1.0]
24,2601,1,1,0.38958939909935,[1.0]
25,2701,1,1,0.5555675625801086,[1.0]
26,2851,1,1,0.5978403687477112,[1.0]
27,2901,1,1,0.6645448207855225,[1.0]
28,3150,0,-1,-1.0,[]
29,3251,0,-1,-1.0,[]
30,3401,1,1,0.27229130268096924,[1.0]
31,3551,1,1,0.377174973487854,[1.0]
32,3605,1,1,0.2973843514919281,[1.0]
33,3701,0,-1,-1.0,[]
34,3800,1,1,0.6005672216415405,[1.0]
35,3901,1,1,0.3409759998321533,[1.0]
36,3955,1,1,0.2781987488269806,[1.0]
37,4051,0,-1,-1.0,[]
38,4151,0,-1,-1.0,[]
39,4301,1,1,0.3080589175224304,[1.0]
40,4451,0,-1,-1.0,[]
41,4549,1,1,0.40080514550209045,[1.0]
42,4701,1,1,0.4865574240684509,[1.0]
43,4801,0,-1,-1.0,[]
44,4854,0,-1,-1.0,[]
45,4951,0,-1,-1.0,[]
46,5051,0,-1,-1.0,[]
47,5201,1,1,0.36760565638542175,[1.0]
48,5251,1,1,0.32527846097946167,[1.0]
49,5351,1,1,0.4654865860939026,[1.0]
50,5404,1,1,0.36905011534690857,[1.0]
51,5501,1,1,0.2664135694503784,[1.0]
52,5601,1,1,0.46877139806747437,[1.0]
53,5701,1,1,0.3921087980270386,[1.0]
54,5801,1,1,0.361425518989563,[1.0]
55,5851,1,1,0.4293566942214966,[1.0]
56,5951,1,1,0.5196390748023987,[1.0]
57,6001,1,1,0.37676554918289185,[1.0]
58,6101,1,1,0.4461229145526886,[1.0]
59,6201,1,1,0.42934930324554443,[1.0]
60,6301,1,1,0.38636860251426697,[1.0]
61,6451,1,1,0.4191080331802368,[1.0]
62,6551,1,1,0.38894230127334595,[1.0]
63,6601,1,1,0.2991009056568146,[1.0]
64,6701,1,1,0.34907862544059753,[1.0]
65,6851,1,1,0.3763251304626465,[1.0]
66,7001,1,1,0.4819088280200958,[1.0]
67,7051,1,1,0.5178664922714233,[1.0]
68,7251,1,1,0.5637314319610596,[1.0]
69,7351,1,1,0.561654269695282,[1.0]
70,7501,3,1,0.6634702086448669,"[1.0, 1.0, 1.0]"
71,7601,2,1,0.6670911312103271,"[1.0, 1.0]"
72,7701,0,-1,-1.0,[]
73,7751,0,-1,-1.0,[]
74,7801,1,1,0.30165958404541016,[1.0]
75,7851,0,-1,-1.0,[]
76,8001,0,-1,-1.0,[]
77,8101,0,-1,-1.0,[]
78,8201,0,-1,-1.0,[]
79,8251,0,-1,-1.0,[]
80,8301,0,-1,-1.0,[]
81,8401,0,-1,-1.0,[]
82,8501,0,-1,-1.0,[]
83,8551,0,-1,-1.0,[]
84,8601,0,-1,-1.0,[]
85,8851,0,-1,-1.0,[]
86,8901,1,1,0.27833667397499084,[1.0]
87,8951,0,-1,-1.0,[]
88,9001,0,-1,-1.0,[]
89,9151,0,-1,-1.0,[]
90,9201,0,-1,-1.0,[]
91,9401,1,1,0.48094743490219116,[1.0]
92,9501,1,1,0.5066908001899719,[1.0]
93,9651,1,1,0.5486475229263306,[1.0]
94,9751,1,1,0.5386390686035156,[1.0]
95,9901,1,1,0.26364606618881226,[1.0]
96,9951,1,1,0.34378930926322937,[1.0]
97,10101,1,1,0.46588292717933655,[1.0]
98,10251,1,1,0.5081876516342163,[1.0]
99,10401,1,1,0.4830566942691803,[1.0]
100,10451,1,1,0.5178252458572388,[1.0]
101,10651,2,1,0.6131839752197266,"[1.0, 1.0]"
102,10701,2,1,0.44402673840522766,"[1.0, 1.0]"
103,10851,1,1,0.33624231815338135,[1.0]
104,10945,1,1,0.5226154923439026,[1.0]
105,11044,3,1,0.36526891589164734,"[1.0, 1.0, 1.0]"
106,11101,2,1,0.5105613470077515,"[1.0, 1.0]"
107,11194,1,1,0.2895132899284363,[1.0]
108,11251,1,1,0.30580079555511475,[1.0]
109,11401,1,1,0.4196417033672333,[1.0]
110,11451,1,1,0.3619445562362671,[1.0]
111,11544,1,1,0.5504361391067505,[1.0]
112,11644,1,1,0.3982946574687958,[1.0]
113,11751,1,1,0.3331122398376465,[1.0]
114,11851,1,1,0.3302946090698242,[1.0]
115,11901,1,1,0.3209531605243683,[1.0]
116,11951,1,1,0.3003395199775696,[1.0]
117,12051,1,1,0.33262428641319275,[1.0]
118,12151,1,1,0.3512785732746124,[1.0]
119,12301,1,1,0.30503514409065247,[1.0]
120,12351,1,1,0.3579627275466919,[1.0]
121,12401,1,1,0.33166196942329407,[1.0]
122,12551,1,1,0.29101991653442383,[1.0]
123,12651,1,1,0.33858105540275574,[1.0]
124,12751,1,1,0.3136271834373474,[1.0]
125,12893,1,1,0.37661248445510864,[1.0]
126,12943,1,1,0.48458874225616455,[1.0]
127,13101,1,1,0.3999475836753845,[1.0]
128,13301,1,1,0.2838033139705658,[1.0]
129,13444,1,1,0.30490729212760925,[1.0]
130,13501,1,1,0.31340521574020386,[1.0]
131,13551,1,1,0.3576107919216156,[1.0]
132,13601,1,1,0.2928815186023712,[1.0]
133,13701,1,1,0.5919349789619446,[1.0]
134,13851,1,1,0.4135643243789673,[1.0]
135,13951,0,-1,-1.0,[]
136,14054,1,1,0.38963577151298523,[1.0]
137,14143,1,1,0.42260074615478516,[1.0]
138,14293,1,1,0.5734624266624451,[1.0]
139,14351,1,1,0.46177446842193604,[1.0]
140,14426,2,1,0.31466060876846313,"[1.0, 0.0]"
141,14551,0,-1,-1.0,[]
142,14651,0,-1,-1.0,[]
143,14793,2,1,0.4705178141593933,"[1.0, 1.0]"
144,14951,0,-1,-1.0,[]
145,15053,1,1,0.5777813196182251,[1.0]
146,15151,0,-1,-1.0,[]
147,15291,1,1,0.5576106309890747,[1.0]
148,15345,0,-1,-1.0,[]
149,15445,1,1,0.477153480052948,[1.0]
150,15543,1,1,0.3436398208141327,[1.0]
151,15601,1,1,0.3614186942577362,[1.0]
152,15751,1,1,0.4245203137397766,[1.0]
153,15851,1,1,0.361299067735672,[1.0]
154,15951,1,1,0.3944011628627777,[1.0]
155,16091,1,1,0.37106260657310486,[1.0]
156,16153,1,1,0.34202176332473755,[1.0]
157,16297,1,1,0.28256136178970337,[1.0]
158,16491,3,1,0.38015326857566833,"[1.0, 1.0, 1.0]"
159,16601,1,1,0.5148140788078308,[1.0]
160,16651,1,1,0.4204908311367035,[1.0]
161,16751,0,-1,-1.0,[]
162,16901,0,-1,-1.0,[]
163,17101,0,-1,-1.0,[]
164,17251,0,-1,-1.0,[]
165,17301,0,-1,-1.0,[]
166,17351,0,-1,-1.0,[]
167,17401,0,-1,-1.0,[]
168,17501,0,-1,-1.0,[]
169,17551,0,-1,-1.0,[]
170,17739,0,-1,-1.0,[]
171,17790,1,1,0.2624233365058899,[1.0]
172,17901,1,1,0.4073964059352875,[1.0]
173,17951,1,1,0.40476933121681213,[1.0]
174,18051,1,1,0.3302611708641052,[1.0]
175,18139,0,-1,-1.0,[]
176,18251,0,-1,-1.0,[]
177,18461,0,-1,-1.0,[]
178,18551,0,-1,-1.0,[]
179,18601,0,-1,-1.0,[]
180,18689,0,-1,-1.0,[]
181,18751,0,-1,-1.0,[]
182,18901,0,-1,-1.0,[]
183,18989,2,1,0.27235791087150574,"[1.0, 1.0]"
184,19045,0,-1,-1.0,[]
185,19138,1,1,0.2591187655925751,[1.0]
186,19192,1,1,0.270908921957016,[1.0]
187,19309,2,1,0.6477568745613098,"[1.0, 1.0]"
188,19360,1,1,0.5884024500846863,[1.0]
189,19459,1,1,0.6077582836151123,[1.0]
190,19558,1,1,0.5693203210830688,[1.0]
191,19660,1,1,0.2885538339614868,[1.0]
192,19759,1,1,0.5348365902900696,[1.0]
193,19901,0,-1,-1.0,[]
194,20030,1,1,0.3435896039009094,[1.0]
195,20108,0,-1,-1.0,[]
196,20201,1,1,0.2842891216278076,[1.0]
197,20288,1,1,0.5668784379959106,[1.0]
198,20385,1,1,0.6255984902381897,[1.0]
199,20488,1,1,0.6327054500579834,[1.0]
200,20562,1,1,0.5882631540298462,[1.0]
201,20705,2,1,0.41432687640190125,"[1.0, 1.0]"
202,20851,1,1,0.5845935940742493,[1.0]
203,21009,2,1,0.3472902774810791,"[1.0, 1.0]"
204,21060,0,-1,-1.0,[]
205,21111,0,-1,-1.0,[]
206,21293,0,-1,-1.0,[]
207,21359,0,-1,-1.0,[]
208,21460,0,-1,-1.0,[]
209,21613,1,1,0.27147364616394043,[1.0]
210,21757,1,1,0.3236326575279236,[1.0]
211,21860,0,-1,-1.0,[]
212,21956,0,-1,-1.0,[]
213,22159,1,1,0.7072359919548035,[1.0]
214,22262,1,1,0.30829647183418274,[1.0]
215,22440,1,1,0.2970503866672516,[1.0]
216,22695,0,-1,-1.0,[]
217,22755,0,-1,-1.0,[]
218,22954,0,-1,-1.0,[]
219,23059,1,1,0.63897305727005,[1.0]
220,23241,0,-1,-1.0,[]
221,23351,0,-1,-1.0,[]
222,23455,0,-1,-1.0,[]
223,23556,0,-1,-1.0,[]
224,23608,0,-1,-1.0,[]
225,23729,1,1,0.49348655343055725,[1.0]
226,23845,0,-1,-1.0,[]
227,23956,1,1,0.9326337575912476,[1.0]
228,24035,1,1,0.9250538945198059,[1.0]
229,24131,1,1,0.9435482025146484,[1.0]
230,24214,1,1,0.9078354239463806,[1.0]
231,24346,1,1,0.9362093210220337,[1.0]
232,24501,1,1,0.9078050255775452,[1.0]
233,24558,1,1,0.8960890769958496,[1.0]
234,24704,1,1,0.9382255673408508,[1.0]
235,24901,1,1,0.8142487406730652,[1.0]
236,25001,1,1,0.8720719218254089,[1.0]
237,25101,1,1,0.9059998989105225,[1.0]
238,25151,1,1,0.9027652144432068,[1.0]
239,25309,1,1,0.8857778906822205,[1.0]
240,25409,1,1,0.8738078474998474,[1.0]
241,25507,1,1,0.9138710498809814,[1.0]
242,25601,1,1,0.9135262370109558,[1.0]
243,25651,1,1,0.9203627109527588,[1.0]
244,25713,1,1,0.9436464905738831,[1.0]
245,25801,1,1,0.908855676651001,[1.0]
246,25883,1,1,0.9197670817375183,[1.0]
247,25991,1,1,0.9355869293212891,[1.0]
248,26083,1,1,0.9063174724578857,[1.0]
249,26151,1,1,0.8929223418235779,[1.0]
250,26277,1,1,0.9102436304092407,[1.0]
251,26551,1,1,0.9371886849403381,[1.0]
252,26639,1,1,0.9370718598365784,[1.0]
253,26701,1,1,0.9335064888000488,[1.0]
254,26907,1,1,0.8972218632698059,[1.0]
255,27075,1,1,0.883490800857544,[1.0]
256,27133,1,1,0.8970734477043152,[1.0]
257,27230,1,1,0.9206140041351318,[1.0]
258,27286,1,1,0.9428544640541077,[1.0]
259,27390,1,1,0.918765664100647,[1.0]
260,27451,1,1,0.9421903491020203,[1.0]
261,27544,1,1,0.9140775799751282,[1.0]
262,27675,1,1,0.9189756512641907,[1.0]
263,27761,1,1,0.9268735647201538,[1.0]
264,27855,1,1,0.8958688974380493,[1.0]
265,27939,1,1,0.915137529373169,[1.0]
266,28084,2,1,0.9106338620185852,"[1.0, 1.0]"
267,28201,1,1,0.9253489971160889,[1.0]
268,28332,1,1,0.9227145314216614,[1.0]
269,28427,1,1,0.9390301704406738,[1.0]
270,28524,1,1,0.9037445187568665,[1.0]
271,28603,1,1,0.9171797037124634,[1.0]
272,28773,1,1,0.9106011390686035,[1.0]
273,28881,1,1,0.9079596400260925,[1.0]
274,28951,1,1,0.9058221578598022,[1.0]
275,29005,1,1,0.8948472738265991,[1.0]
276,29063,1,1,0.9262782335281372,[1.0]
277,29232,1,1,0.9236587882041931,[1.0]
278,29314,1,1,0.92696613073349,[1.0]
279,29440,1,1,0.9219940304756165,[1.0]
280,29513,1,1,0.8974461555480957,[1.0]
281,29631,1,1,0.9257652759552002,[1.0]
282,29681,1,1,0.913668692111969,[1.0]
283,29757,1,1,0.8798096776008606,[1.0]
284,29881,1,1,0.9210094213485718,[1.0]
285,29966,1,1,0.9051831960678101,[1.0]
286,30072,1,1,0.9138612151145935,[1.0]
287,30180,2,1,0.9421383738517761,"[1.0, 1.0]"
288,30323,1,1,0.9415760040283203,[1.0]
289,30438,1,1,0.9295435547828674,[1.0]
290,30622,1,1,0.9009631276130676,[1.0]
291,30735,1,1,0.9060590267181396,[1.0]
292,30801,1,1,0.9151508808135986,[1.0]
293,30930,1,1,0.8856565952301025,[1.0]
294,31055,1,1,0.9133764505386353,[1.0]
