,0,1,2,3,4
0,33,2,1,0.8675736784934998,"[1.0, 1.0]"
1,151,2,1,0.9055174589157104,"[1.0, 1.0]"
2,316,2,1,0.9119267463684082,"[1.0, 1.0]"
3,401,1,1,0.9267421960830688,[1.0]
4,463,1,1,0.937476396560669,[1.0]
5,531,1,1,0.9424289464950562,[1.0]
6,587,1,1,0.9538418650627136,[1.0]
7,808,1,1,0.9257202744483948,[1.0]
8,931,1,1,0.9113409519195557,[1.0]
9,1045,1,1,0.924567461013794,[1.0]
10,1113,1,1,0.9304186701774597,[1.0]
11,1214,1,1,0.9284329414367676,[1.0]
12,1320,1,1,0.9321536421775818,[1.0]
13,1480,1,1,0.8815435767173767,[1.0]
14,1668,1,1,0.8849372863769531,[1.0]
15,1953,1,1,0.8602920770645142,[1.0]
16,2051,1,1,0.8574504256248474,[1.0]
17,2101,1,1,0.8586618900299072,[1.0]
18,2221,1,1,0.8356679081916809,[1.0]
19,2319,1,1,0.8952440619468689,[1.0]
20,2435,1,1,0.8940209150314331,[1.0]
21,2573,1,1,0.8409344553947449,[1.0]
22,2723,1,1,0.8710567951202393,[1.0]
23,2852,1,1,0.8762012720108032,[1.0]
24,2945,1,1,0.8795471787452698,[1.0]
25,3056,1,1,0.9070658683776855,[1.0]
26,3196,1,1,0.8743447661399841,[1.0]
27,3382,1,1,0.8692765235900879,[1.0]
28,3546,1,1,0.8888053297996521,[1.0]
29,3687,1,1,0.8936974406242371,[1.0]
30,3757,1,1,0.8892457485198975,[1.0]
31,3842,1,1,0.8751139640808105,[1.0]
32,3908,1,1,0.8686872720718384,[1.0]
33,4039,1,1,0.8531554341316223,[1.0]
34,4173,1,1,0.8704513311386108,[1.0]
35,4303,1,1,0.8715739250183105,[1.0]
36,4400,1,1,0.8833391070365906,[1.0]
37,4527,1,1,0.8878118991851807,[1.0]
38,4598,1,1,0.8987021446228027,[1.0]
39,4716,1,1,0.8582284450531006,[1.0]
40,4883,1,1,0.8714250922203064,[1.0]
41,4965,1,1,0.8756950497627258,[1.0]
42,5035,1,1,0.9199420809745789,[1.0]
43,5101,1,1,0.912539005279541,[1.0]
44,5201,1,1,0.9272102117538452,[1.0]
45,5301,1,1,0.914686381816864,[1.0]
46,5531,1,1,0.9273389577865601,[1.0]
47,5605,1,1,0.9144046902656555,[1.0]
48,5733,1,1,0.8758049011230469,[1.0]
49,5802,1,1,0.8769451379776001,[1.0]
50,5920,1,1,0.8230545520782471,[1.0]
51,6001,1,1,0.908511757850647,[1.0]
52,6248,1,1,0.8662174940109253,[1.0]
53,6301,1,1,0.8445157408714294,[1.0]
54,6385,1,1,0.8822181224822998,[1.0]
55,6498,1,1,0.8823732733726501,[1.0]
56,6552,1,1,0.8823481202125549,[1.0]
