,ind,preds,results,time
0,56,[[    0.99967  0.00033153]],0,2.0800282955169678
1,154,[[    0.99998  2.4261e-05]],0,0.2561056613922119
2,272,[[    0.53924     0.46076]],0,0.25336670875549316
3,451,[[          1  9.8155e-15]],0,0.5710506439208984
4,501,[[          1  1.9444e-14]],0,0.25539731979370117
5,655,[[          1  1.6281e-08]],0,0.27550745010375977
6,774,[[          1  1.0225e-07]],0,0.25301313400268555
7,853,[[          1  3.8077e-10]],0,0.2571225166320801
8,1051,[[    0.99982   0.0001797]],0,0.25820064544677734
9,1156,[[    0.01023     0.98977]],1,0.2731149196624756
10,1206,[[   0.023569     0.97643]],1,0.29102635383605957
11,1305,[[    0.44933     0.55067]],1,0.28029775619506836
12,1453,[[    0.99533   0.0046671]],0,0.2756822109222412
13,1503,[[    0.16798     0.83202]],1,0.3310403823852539
14,1701,[[    0.99996  4.1533e-05]],0,0.24709105491638184
15,1877,[[    0.98687     0.01313]],0,0.23200726509094238
16,2051,[[          1  3.5583e-07]],0,0.25652623176574707
17,2101,[[    0.99995   5.028e-05]],0,0.26541852951049805
18,2205,[[   0.060537     0.93946]],1,0.25465869903564453
19,2303,[[    0.99031   0.0096891]],0,0.27973127365112305
20,2501,[[   0.001795      0.9982]],1,0.2723581790924072
21,2655,[[          1  1.2599e-06]],0,0.2600681781768799
22,2755,[[    0.96237    0.037627]],0,0.28072619438171387
23,2853,[[          1  3.2282e-07]],0,0.2747464179992676
24,2942,[[          1  1.9112e-06]],0,0.2418978214263916
25,3050,[[   0.006535     0.99347]],1,0.2520623207092285
26,3125,[[    0.99214   0.0078589]],0,0.24617552757263184
27,3200,[[     0.9996  0.00040107]],0,0.2532188892364502
28,3255,[[    0.99988  0.00011595]],0,0.24972033500671387
29,3350,[[    0.99997  2.5933e-05]],0,0.2686758041381836
30,3425,[[    0.99997  3.3633e-05]],0,0.2590200901031494
31,3506,[[          1  5.4792e-08]],0,0.27530908584594727
32,3605,[[    0.99644   0.0035631]],0,0.32285237312316895
33,3751,[[      0.999   0.0010034]],0,0.2764918804168701
34,3875,[[    0.94524    0.054759]],0,0.2677803039550781
35,3950,[[    0.99255   0.0074532]],0,0.27691078186035156
36,4044,[[    0.86913     0.13087]],0,0.2662069797515869
37,4175,[[     0.9954   0.0045992]],0,0.28383517265319824
38,4254,[[    0.99971  0.00028915]],0,0.2764010429382324
39,4304,[[    0.64333     0.35667]],0,0.2689549922943115
40,4355,[[   0.024031     0.97597]],1,0.23084735870361328
41,4455,[[    0.98818    0.011816]],0,0.255615234375
42,4505,[[    0.99985  0.00015414]],0,0.26323628425598145
43,4556,[[          1  8.0121e-07]],0,0.23686742782592773
